index,NORMALIZED PEDESTRIAN POSITION X,NORMALIZED PEDESTRIAN POSITION Y,NORMALIZED PEDESTRIAN DIRECTION,NORMALIZED PEDESTRIAN SPEED,NORMALIZED CAR SPEED,TTC
513,3.917481589627239,-1.0,92.09,0.0,2.0,0.4166666666666667
514,4.242761127101105,-1.0,92.09,0.0,2.0,0.4
512,3.262537646010492,-1.0,92.09,0.0,2.0,0.3333333333333333
96608,4.121863266726187,-0.12186326672618697,90.52,4.0,10.0,0.28448275862068967
96608,4.0,-0.10884084073721523,90.52,4.0,10.0,0.375
96607,4.0,-0.07847792044997282,90.52,4.0,10.0,0.375
96606,4.033686763051737,0.0,90.52,4.0,10.0,0.31343283582089554
96613,4.580512460940425,-0.29025623047021243,90.52,4.0,10.0,0.31343283582089554
96606,4.011611739974682,0.0,90.52,4.0,10.0,0.28448275862068967
96607,4.077159359107389,-0.03857967955369446,90.52,4.0,10.0,0.31343283582089554
96606,4.107527411866868,0.0,90.52,4.0,10.0,0.28448275862068967
96611,4.2398775485020606,-0.2398775485020605,90.52,4.0,10.0,0.28448275862068967
96609,4.0,-0.1474040355083,90.52,4.0,10.0,0.375
25841,3.206818729513363,-0.5,92.09,4.0,6.0,0.3333333333333333
25839,3.29488588955748,-0.42627852761062995,92.09,4.0,6.0,0.4166666666666667
25842,3.9897381245180865,-0.5,92.09,4.0,6.0,0.375
25842,3.6186790617175966,-0.5,92.09,4.0,6.0,0.4
25840,3.060386578917085,-0.48490335527072875,92.09,4.0,6.0,0.4166666666666667
